Start Date,End Date,Approving,Disapproving,Unsure/NoData
1/2/2025,1/15/2025,40,54,6
12/2/2024,12/18/2024,39,56,5
11/6/2024,11/20/2024,37,58,6
10/14/2024,10/27/2024,41,39,3
10/1/2024,10/12/2024,39,56,5
9/16/2024,9/28/2024,45,52,3
9/3/2024,9/15/2024,39,58,3
8/1/2024,8/20/2024,43,53,4
7/1/2024,7/21/2024,36,58,6
6/3/2024,6/23/2024,38,58,4
5/1/2024,5/23/2024,39,56,5
4/1/2024,4/22/2024,38,58,4
3/1/2024,3/20/2024,40,55,5
2/1/2024,2/20/2024,38,59,3
1/2/2024,1/22/2024,41,54,5
12/1/2023,12/20/2023,39,59,2
11/1/2023,11/20/2023,37,59,4
10/2/2023,10/23/2023,37,59,4
9/1/2023,9/23/2023,41,58,1
8/1/2023,8/23/2023,42,53,5
7/3/2023,7/27/2023,40,55,4
6/1/2023,6/22/2023,43,54,3
5/1/2023,5/24/2023,39,57,5
4/3/2023,4/25/2023,37,59,4
3/1/2023,3/23/2023,40,56,4
2/1/2023,2/23/2023,42,54,5
1/2/2023,1/22/2023,41,54,4
11/9/2022,12/2/2022,40,55,5
10/3/2022,10/20/2022,40,56,4
9/1/2022,9/16/2022,42,56,4
8/1/2022,8/23/2022,44,53,3
7/5/2022,7/26/2022,38,59,3
6/1/2022,6/20/2022,41,57,3
5/2/2022,5/22/2022,41,54,5
4/1/2022,4/19/2022,41,56,3
3/1/2022,3/18/2022,42,54,4
2/1/2022,2/17/2022,41,55,4
1/3/2022,1/16/2022,40,56,4
12/1/2021,12/16/2021,43,51,6
11/1/2021,11/16/2021,42,55,3
10/1/2021,10/19/2021,42,52,6
9/1/2021,9/17/2021,43,55,2
8/2/2021,8/17/2021,49,48,3
7/6/2021,7/21/2021,50,45,5
6/1/2021,6/18/2021,56,42,2
5/3/2021,5/18/2021,54,40,6
4/1/2021,4/21/2021,57,40,3
3/1/2021,3/15/2021,54,42,4
2/3/2021,2/18/2021,56,40,4
1/21/2021,2/2/2021,57,37,6
