Start Date	End Date	Approving	Disapproving	Unsure/NoData	candidate
01/04/2021	01/15/2021	34	62	4	trump
12/01/2020	12/17/2020	39	57	4	trump
11/05/2020	11/19/2020	43	55	2	trump
10/16/2020	10/27/2020	46	52	2	trump
09/30/2020	10/15/2020	43	55	2	trump
09/14/2020	09/28/2020	46	52	2	trump
08/31/2020	09/13/2020	42	56	2	trump
07/30/2020	08/12/2020	42	55	3	trump
07/01/2020	07/23/2020	41	56	3	trump
06/08/2020	06/30/2020	38	57	5	trump
05/28/2020	06/04/2020	39	57	4	trump
05/01/2020	05/13/2020	49	48	3	trump
04/14/2020	04/28/2020	49	47	4	trump
04/01/2020	04/14/2020	43	54	3	trump
03/13/2020	03/22/2020	49	45	6	trump
03/02/2020	03/13/2020	44	52	4	trump
02/17/2020	02/28/2020	47	51	2	trump
02/03/2020	02/16/2020	49	48	3	trump
01/16/2020	01/29/2020	49	50	1	trump
01/02/2020	01/15/2020	44	53	3	trump
12/02/2019	12/15/2019	45	51	4	trump
11/01/2019	11/14/2019	43	54	3	trump
10/14/2019	10/31/2019	41	57	2	trump
10/01/2019	10/13/2019	39	57	4	trump
09/16/2019	09/30/2019	40	56	4	trump
09/03/2019	09/15/2019	43	54	3	trump
08/15/2019	08/30/2019	39	57	4	trump
08/01/2019	08/14/2019	41	54	5	trump
07/15/2019	07/31/2019	42	54	4	trump
07/01/2019	07/12/2019	44	51	5	trump
06/19/2019	06/30/2019	41	54	5	trump
06/03/2019	06/16/2019	43	55	2	trump
05/15/2019	05/30/2019	40	55	5	trump
05/01/2019	05/12/2019	42	52	6	trump
04/17/2019	04/30/2019	46	50	4	trump
04/01/2019	04/09/2019	45	51	4	trump
03/01/2019	03/10/2019	39	57	4	trump
02/12/2019	02/28/2019	43	54	3	trump
02/01/2019	02/10/2019	44	52	4	trump
01/21/2019	01/27/2019	37	59	4	trump
01/02/2019	01/10/2019	37	59	4	trump
12/17/2018	12/22/2018	39	55	6	trump
12/10/2018	12/16/2018	38	57	5	trump
12/03/2018	12/09/2018	40	56	4	trump
11/26/2018	12/02/2018	38	60	2	trump
11/19/2018	11/25/2018	43	53	4	trump
11/12/2018	11/18/2018	38	56	6	trump
11/05/2018	11/11/2018	40	54	6	trump
10/29/2018	11/04/2018	40	54	6	trump
10/22/2018	10/28/2018	44	50	6	trump
10/15/2018	10/21/2018	44	51	5	trump
10/08/2018	10/14/2018	43	53	4	trump
10/01/2018	10/07/2018	42	53	5	trump
09/24/2018	09/30/2018	40	56	4	trump
09/17/2018	09/23/2018	38	56	6	trump
09/10/2018	09/16/2018	40	54	6	trump
09/03/2018	09/09/2018	41	53	6	trump
08/27/2018	09/02/2018	41	54	5	trump
08/20/2018	08/26/2018	42	52	6	trump
08/13/2018	08/19/2018	39	56	5	trump
08/06/2018	08/12/2018	41	54	5	trump
