observation_date,A939RX0Q048SBEA,Change
1947-04-01,15139,-0.7148478488982146
1947-07-01,15039,-0.6605456106744123
1947-10-01,15204,1.0971474167165374
1948-01-01,15371,1.0983951591686303
1948-04-01,15563,1.2491054583306127
1948-07-01,15585,0.14136092013108392
1948-10-01,15530,-0.3529034327879321
1949-01-01,15250,-1.802962009014808
1949-04-01,15137,-0.7409836065573772
1949-07-01,15228,0.6011759265376337
1949-10-01,15032,-1.28710270554242
1950-01-01,15559,3.5058541777541308
1950-04-01,15977,2.6865479786618573
1950-07-01,16524,3.423671527821237
1950-10-01,16764,1.452432824981842
1951-01-01,16922,0.9424958243855919
1951-04-01,17147,1.3296300673679262
1951-07-01,17420,1.5921152388172821
1951-10-01,17375,-0.2583237657864501
1952-01-01,17490,0.6618705035971173
1952-04-01,17459,-0.17724413950829243
1952-07-01,17509,0.2863852454321636
1952-10-01,18001,2.8099834370894916
1953-01-01,18268,1.4832509305038544
1953-04-01,18341,0.3996058681847936
1953-07-01,18155,-1.0141213674281668
1953-10-01,17797,-1.9719085651335733
1954-01-01,17636,-0.904646850592794
1954-04-01,17584,-0.29485144023587706
1954-07-01,17701,0.6653776160145508
1954-10-01,17960,1.463194169820925
1955-01-01,18396,2.427616926503351
1955-04-01,18621,1.2230919765166437
1955-07-01,18787,0.8914666237044289
1955-10-01,18808,0.11177942194069423
1956-01-01,18658,-0.7975329646958795
1956-04-01,18736,0.4180512380748125
1956-07-01,18632,-0.5550811272416745
1956-10-01,18845,1.1431945040790037
1957-01-01,18881,0.19103210400637227
1957-04-01,18763,-0.6249668979397272
1957-07-01,18862,0.5276341736396128
1957-10-01,18582,-1.4844661223624267
1958-01-01,18032,-2.959853621784525
1958-04-01,18081,0.27173913043478937
1958-07-01,18419,1.8693656324318297
1958-10-01,18764,1.8730658559096502
1959-01-01,19041,1.4762310807930001
1959-04-01,19395,1.859146053253502
1959-07-01,19326,-0.3557617942768765
1959-10-01,19296,-0.1552312946289991
1960-01-01,19614,1.6480099502487633
1960-04-01,19392,-1.1318446007953509
1960-07-01,19390,-0.010313531353134398
1960-10-01,19065,-1.6761217122228
1961-01-01,19130,0.3409388932599011
1961-04-01,19380,1.3068478829064256
1961-07-01,19670,1.4963880288957787
1961-10-01,19970,1.5251652262328497
1962-01-01,20254,1.422133199799691
1962-04-01,20366,0.5529771896909175
1962-07-01,20536,0.8347245409014992
1962-10-01,20521,-0.07304246201792486
1963-01-01,20677,0.7601968714974872
1963-04-01,20842,0.7979881027228242
1963-07-01,21219,1.808847519431911
1963-10-01,21276,0.2686271737593726
1964-01-01,21657,1.7907501410039384
1964-04-01,21824,0.7711132659186326
1964-07-01,22085,1.1959310850439886
1964-10-01,22075,-0.045279601539505165
1965-01-01,22547,2.1381653454133565
1965-04-01,22770,0.9890451057790406
1965-07-01,23198,1.879666227492316
1965-10-01,23656,1.9743081300112042
1966-01-01,24172,2.1812647954007502
1966-04-01,24191,0.07860334271057035
1966-07-01,24321,0.5373899384068404
1966-10-01,24446,0.5139591299699875
1967-01-01,24602,0.6381412091957861
1967-04-01,24556,-0.18697666856353212
1967-07-01,24719,0.6637888906988021
1967-10-01,24836,0.4733201181277513
1968-01-01,25288,1.8199387985182724
1968-04-01,25652,1.439417905726037
1968-07-01,25781,0.5028847653204327
1968-10-01,25813,0.12412241573251936
1969-01-01,26162,1.35203192189981
1969-04-01,26181,0.07262441709350309
1969-07-01,26281,0.38195638058133863
1969-10-01,26076,-0.7800312012480548
1970-01-01,25973,-0.3949992330111951
1970-04-01,25929,-0.1694066915643222
1970-07-01,26079,0.5785028346638965
1970-10-01,25710,-1.4149315541240104
1971-01-01,26328,2.4037339556592707
1971-04-01,26394,0.25068368277119113
1971-07-01,26529,0.5114798817913213
1971-10-01,26510,-0.07161973689170376
1972-01-01,26932,1.5918521312712208
1972-04-01,27478,2.0273280855487963
1972-07-01,27666,0.6841837106048576
1972-10-01,28055,1.4060579773006676
1973-01-01,28687,2.2527178756015065
1973-04-01,28935,0.8645030850210844
1973-07-01,28711,-0.7741489545533109
1973-10-01,28913,0.7035630942844096
1974-01-01,28606,-1.061806107979113
1974-04-01,28613,0.02447039082709157
1974-07-01,28270,-1.198755810296015
1974-10-01,28088,-0.6437920056597046
1975-01-01,27690,-1.4169752207348285
1975-04-01,27821,0.47309498013723417
1975-07-01,28214,1.412601991301532
1975-10-01,28520,1.0845679449918544
1976-01-01,29099,2.0301542776998582
1976-04-01,29250,0.5189181758823436
1976-07-01,29335,0.29059829059829845
1976-10-01,29469,0.45679222771433103
1977-01-01,29749,0.9501510061420415
1977-04-01,30254,1.697536051631987
1977-07-01,30713,1.5171547563958443
